REPORT_SPECIES_NAME,REPORT_SPECIES_DISPLAYNAME,REPORT_SPECIES_ID,STRUCTURE_DEF_ID,LINE_ID,FIELD_ID,FIELD_NAME,FIELD_TYPE,START_COLUMN,END_COLUMN,FIELD_WIDTH,IS_SIGNIFICANT,IS_INDEXED,LINE_NAME,LINE_TEMPLATE
IN9073BP,IN9073BP,5656,3869,7,5,POLICY_NUMBER,Text,29,58,30,1,1,RptDetailLine003,99 AAAAAA AAAAAA           : AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA                                                                                                                                           *
IN9073CP,IN9073CP,5651,3871,7,5,POLICY_NUMBER,Text,29,58,30,1,1,RptDetailLine003,99 AAAAAA AAAAAA           : AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA                                                                                                                                           *
IN9074AP,IN9074AP,5652,8455,7,5,POLICY_NUMBER,Text,29,58,30,1,1,RptDetailLine003,99 AAAAAA AAAAAA           : AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA                                                                                                                                           *
IN9074BP,IN9074BP,5653,3874,7,5,POLICY_NUMBER,Text,29,58,30,1,1,RptDetailLine003,99 AAAAAA AAAAAA           : AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA                                                                                                                                           *
IN9074CP,IN9074CP,5654,3876,7,5,POLICY_NUMBER,Text,29,58,30,1,1,RptDetailLine003,99 AAAAAA AAAAAA           : AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA                                                                                                                                           *
IN9075P,IN9075P,8314,8459,7,5,POLICY_NUMBER,Text,29,58,30,1,1,RptDetailLine003,99 AAAAAA AAAAAA           : AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA                                                                                                                                           *
IN9076P,IN9076P,8315,423,6,2,Insured_Name,Text,17,58,42,1,1,RptDetails001, 999             AAA AAAAAAAAAAAAAAAAAAAAAAA                            9                                                           *
IS0001BP,MP_IS0001BP:OS User Profiles Report,48170,10771,5,2,IS_GROUP,Text,8,37,30,1,1,RptTitleLine002, AAAAA: *AAAA                                                                                                                        *
IS0001BP,MP_IS0001BP:OS User Profiles Report,48170,10771,7,1,USER_ID,Text,1,11,11,1,1,RptDetailLine001, AAAAAAAA                                                      AAAAAA    99/99/99A *AAAA      *AAA *AAA                              *
IS0001BP,MP_IS0001BP:OS User Profiles Report,48170,10771,7,2,STATUS,Text,63,72,10,1,1,RptDetailLine001, AAAAAAAA                                                      AAAAAA    99/99/99A *AAAA      *AAA *AAA                              *
LNH431P,LNH431P,10897,10537,3,4,PROCESS_DATE,Date,189,196,8,1,1,RptHeaderLine001,AAAAAAA:                                                                                                                                                                        AAAAAAA AAAA 99/99/99*
LNH431P,LNH431P,10897,10537,12,2,account_number,Text,4,25,22,1,1,RptDetailLine01," 99     9999999999-99999   AA99A9AAAA        99/99/99        9/99/99         99 A                  999 AAAAAA              AA                                   99,999.99             9,999.99       *"
LNH431P,LNH431P,10897,10537,12,3,id_number,Text,27,43,17,1,1,RptDetailLine01," 99     9999999999-99999   AA99A9AAAA        99/99/99        9/99/99         99 A                  999 AAAAAA              AA                                   99,999.99             9,999.99       *"
LNH431P,LNH431P,10897,10537,12,6,loan_tenor,Text,73,82,10,1,1,RptDetailLine01," 99     9999999999-99999   AA99A9AAAA        99/99/99        9/99/99         99 A                  999 AAAAAA              AA                                   99,999.99             9,999.99       *"
LNH446P,LNH446P:Schedule of Active Accounts By Dealer,10908,10367,6,4,loan_type,Text,13,47,35,1,1,RptDetailLine01,AAAA AAAA :  AA  AA AAA AAAAAAAA-AAA                                                                                                                                                            *
LNH446P,LNH446P:Schedule of Active Accounts By Dealer,10908,10367,7,4,dealer_code,Text,15,29,15,1,1,RptDetailLine02,AAAAAA AAAA :  A-999-9999999  A9A99999A999A99A999999A9                                                                                                                                          *
LNH446P,LNH446P:Schedule of Active Accounts By Dealer,10908,10367,9,3,branch_name,Text,8,41,34,1,1,RptDetailLine03,"99 999  AAAA AAAA AAAAAA                    9999999999-99999      9999999999-99999   99/99/99       999 A                999.99             99,999.99                                           *"
LNH446P,LNH446P:Schedule of Active Accounts By Dealer,10908,10367,9,6,main_block_acc,Text,42,59,18,1,1,RptDetailLine03,"99 999  AAAA AAAA AAAAAA                    9999999999-99999      9999999999-99999   99/99/99       999 A                999.99             99,999.99                                           *"
LNH446P,LNH446P:Schedule of Active Accounts By Dealer,10908,10367,9,7,account_number,Text,62,81,20,1,1,RptDetailLine03,"99 999  AAAA AAAA AAAAAA                    9999999999-99999      9999999999-99999   99/99/99       999 A                999.99             99,999.99                                           *"
LNH447P,LNH447P:Schedule Motor Vehicles Financed Under HP,10909,10366,5,4,loan_type,Text,13,47,35,1,1,RptDetailLine001,AAAA AAAA :  AA  AA AAA AAAAAAAA-AAA                                                                                                                                                            *
LNH447P,LNH447P:Schedule Motor Vehicles Financed Under HP,10909,10366,6,4,dealer_code,Text,14,29,16,1,1,RptDetailLine02,AAAAAA AAAA :  A-999-9999999  A9A99A9A9A9999AA99A9                                                                                                                                              *
